title,description,link,post_status,post_type,lat,lng,map_id,approved,address,category
SOUTHERN ILLINOIS AUTHORITY,(469) 261-7551,http://www.southernskymaintenance.com/about-us/,publish,dealers,37.782223,-89.396839,1,1,"dba SOUTHERN SKY MAINTENANCE Murphysboro, IL, 62966",1
"TRM AVIONICS LOGISTICS, LLC",(740) 773-4788,http://www.trmaviation.com/,publish,dealers,39.439836,-83.0294,1,1,"1296 STONE ROAD CHILLICOTHE, OH, 45601",1
MURFREESBORO AVIATION,(615) 494-1900,https://murfreesboroaviation.com/,publish,dealers,35.877886,-86.380537,1,1,"1936 MEMORIAL BLVD MURFREESBORO, TN, 37129",1
TWIN CITIES AVIATION - MN,(763) 784-9165,http://www.tcaviation.com/,publish,dealers,45.172476,-93.19509,1,1,"9833 N Airport Rd Minneapolis, MN, 55449",1
LV AVIONICS,(610) 264-1430,http://www.lvavionics.com/,publish,dealers,40.645507,-75.440376,1,1,"600 HAYDEN CIRCLE ALLENTOWN, PA, 18109",1
"MAC AVIONICS, INC.",(863) 646-8790,http://www.macavionics.com/,publish,dealers,28.210737,-82.031845,1,1,"LAKELAND AIRPORT LAKELAND, FL, 33811",1
"RC AVIONICS, INC.",715-246-4740,https://www.rcavionics.com,publish,dealers,45.142061,-93.215616,1,1,"8891 AIRPORT RD, PO BOX B-7 BLAINE, MN, 55449",1
AERO COMPONENTS & ELECTRONICS LLC,(941) 621-8978,http://www.aerocomp.net/,publish,dealers,26.876897,-82.005549,1,1,"6640 Taylor Road Punta Gorda, FL, 33950",1
MIDWEST AVIATION SERVICES INC,(270) 744-8600,http://www.midwest-aviation.com/default.htm,publish,dealers,37.06657,-88.775236,1,1,"200 HARDY ROBERTS DRIVE WEST PADUCAH, KY, 42086",1
"ON WING, LLC",540 454 7003 ,http://onwing.com/,publish,dealers,39.139785,-78.14342,1,1,"615 Airport Road Winchester, VA, 22602",1
TOTAL AVIONIX INC,(561) 877-3505,https://totalavionix.com/,publish,dealers,26.595537,-80.129065,1,1,"2633 Latana Rd Lake Worth, FL, 33463",1
ENTAIR INC,(905) 721-1109,https://www.enterpriseaviationgroup.com,publish,dealers,34.05936,-117.6203,1,1,"1190 Keith Ross Drive Oshawa, ONTARIO,  L1J 0C7",1
"K.R.T. AVIATION, LLC",(918) 710-0073,http://krtaviation.com/,publish,dealers,36.034249,-95.991312,1,1,"8888 JACK BATES AVE. TULSA, OK, 74132",1
"WYSONG ENTERPRISES, INC.",(423) 325-6900,https://www.wysongusa.com/,publish,dealers,36.476507,-82.411232,1,1,"2695 HIGHWAY 75 BLOUNTVILLE, TN, 37617",1
PAC INTERNATIONAL,(724) 887-4413,http://www.pac-international.co/,publish,dealers,40.108817,-79.547029,1,1,"226 AIRPORT ROAD MOUNT PLEASANT, PA, 15666",1
PROAV AIRCRAFT SERVICES,(330) 339-2023,http://www.proavaircraft.com/,publish,dealers,40.470896,-81.4179,1,1,"1834 EAST HIGH AVE NEW PHILADELPHIA, OH, 44663",1
"CLASSIC AVIATION, INC",(641) 628-9393,https://www.flyclassicaviation.com ,publish,dealers,41.403099,-92.896394,1,1,"501 WEST 15TH ST PELLA, IA, 50219",1
MONARCH AVIATON INC,(850) 951-0900,http://monarchaviation.com/,publish,dealers,30.727305,-86.154112,1,1,"627 Airpark Rd DeFuniak Springs, FL, 32435",1
"QUALITY AVIONICS, INC.",(724) 748-5750,https://www.qualityavionics.com/,publish,dealers,41.345919,-80.080423,1,1,"GROVE CITY REGIONAL AIRPORT MERCER, PA, 16137",1
"CONTACT AVIATON, LLC",(248) 666-0316,http://contact.aero/,publish,dealers,42.660558,-83.406148,1,1,"1675 Airport Road Waterford, MI, 48327",1
MAINE AVIATION AIRCRAFT MAINTENANCE,(207) 780-1811,https://macairgroup.com/aircraft-maintenance,publish,dealers,43.64853,-70.299578,1,1,"406 Yellowbird Road PORTLAND, ME, 4102",1
WAUKEGAN AVIONICS,(847) 336-6075,http://waukeganaviation.com/,publish,dealers,42.328401,-87.894915,1,1,"WAUKEGAN REGIONAL AIRPORT WAUKEGAN, IL, 60087",1
CANYON AERO LLC,(67-) 368-1330,,publish,dealers,41.243511,-76.927016,1,1,"580 S. Loyalsock, AVE Montoursville, PA, 17754",1
PLANE CARE LLC,(301) 733-7604,http://planecarellc.com/,publish,dealers,39.707038,-77.72085,1,1,"14235 OAK SPRINGS ROAD HAGERSTOWN, MD, 21742",1
"PENINSULA AVIONICS, INC.- MIAMI",(305) 238-6550,http://www.peninsulaavionics.com/,publish,dealers,25.65073,-80.424706,1,1,"14229 SW 127TH STREET MIAMI, FL, 33186",1
TAILWIND AVIATION LLC,(252) 515-4081,,publish,dealers,34.733146,-76.654327,1,1,"200 AIRPORT ROAD BEAUFORT, NC, 28516",1
DES MOINES FLYING SERVICE,(515) 256-5300,https://desmoinesflyingservice.com/,publish,dealers,41.595922,-93.590944,1,1,"DES MOINES INTERNATIONAL AIRPORT DES MOINES, IA, 50321",1
Contour Aviation,(615) 534.4600,https://contouraviation.com/,publish,dealers,36.012873,-86.512795,1,1,"693 Fitzhugh Boulevard Smyrna, TN, 37167",1
HURON AVIONICS,•À__(810) 364-2722,http://www.havionics.com/,publish,dealers,42.908487,-82.52278,1,1,"140 N. AIRPORT DRIVE KIMBALL, MI, 48074",1
POMPANO AVIONICS,(954) 776-4030,https://www.tropicradio.com,publish,dealers,26.195526,-80.180821,1,1,"2695 NW 56TH ST 53-A FORT LAUDERDALE, FL, 33309",1
"SEBASTIAN COMMUNICATION, INC.",(321) 453-6894,https://www.SebComm.com,publish,dealers,28.356901,-80.708162,1,1,"MERRITT ISLAND AIRPORT MERRITT ISLAND, FL,  32952-3796",1
Hadfield Aviation,450-676-6299,http://www.handfieldaviation.com/,publish,dealers,45.501148,-73.425362,1,1,"4920 route de l'aeroport saint-hubert, QC, J3Y 8Y9",1
TAILWIND AVIATION SERVICES,(519) 694-4435,http://www.tailwindaviation.ca,publish,dealers,34.05936,-117.6203,1,1,"244779 Milldale Road Otterville, ONTARIO,  N0J 1R0",1
"A&J AVIATION, LLC",(479) 927-6585,https://www.aandj.aero,publish,dealers,36.184849,-94.146113,1,1,"1503 W Emma Avenue SPRINGDALE, AR, 72764",1
RON COLLINS AVIATION ELECTRONI,(270) 827-1161,http://www.roncollinsaviation.com/,publish,dealers,37.809699,-87.680311,1,1,"2158 State Route 136 West Henderson, KY, 42420",1
SOUTHERN AVIONICS & COMMUN.,(251) 433-9980,http://www.continentalmotors.aero/southern-avionics/,publish,dealers,30.480713,-87.861306,1,1,"8600 County Road 32 Fairhope, AL, 36532",1
IDEAL AVIATION,(618) 337-5845,https://www.idealaviationstl.com,publish,dealers,38.580362,-90.160493,1,1,"5100 Omega Dr Sauget, IL, 62206",1
